,cliques,density,nodes per clique,edges per clique,connectivity between cliques,w2v window,w2v dimensions,average loss,min loss,average auc,max auc
0,1,0.6666666666666666,16,80,1,1,2,7155.90771484375,6535.72900390625,0.571875,0.765625
1,1,0.6666666666666666,16,80,1,1,4,7144.22763671875,1936.197021484375,0.58515625,0.70703125
2,1,0.6666666666666666,16,80,1,1,8,6097.238916015625,1812.89501953125,0.5625,0.703125
3,1,0.6666666666666666,16,80,1,1,16,7128.8734375,1959.76513671875,0.5953125,0.74609375
4,1,0.6666666666666666,16,80,1,1,32,7128.8533203125,1943.100830078125,0.59296875,0.73046875
5,1,0.6666666666666666,16,80,1,1,64,7128.425390625,1788.168212890625,0.59375,0.73046875
6,1,0.6666666666666666,16,80,1,1,128,7128.76494140625,1818.197998046875,0.59140625,0.7421875
7,1,0.6666666666666666,16,80,1,1,256,7129.24111328125,6499.21435546875,0.6,0.74609375
8,1,0.6666666666666666,16,80,1,3,2,13443.408984375,3328.27587890625,0.409375,0.78515625
9,1,0.6666666666666666,16,80,1,3,4,13443.427734375,12334.5576171875,0.37734375,0.75390625
10,1,0.6666666666666666,16,80,1,3,8,13439.1591796875,12326.59375,0.35859375,0.73046875
11,1,0.6666666666666666,16,80,1,3,16,13437.253515625,12327.3408203125,0.35625,0.69140625
12,1,0.6666666666666666,16,80,1,3,32,13438.1650390625,3334.594970703125,0.353125,0.6796875
13,1,0.6666666666666666,16,80,1,3,64,13438.1361328125,12328.970703125,0.35078125,0.69921875
14,1,0.6666666666666666,16,80,1,3,128,13436.9775390625,12328.5625,0.346875,0.6875
15,1,0.6666666666666666,16,80,1,3,256,13436.4880859375,12328.51171875,0.35234375,0.70703125
16,1,0.6666666666666666,16,80,1,5,2,18032.0828125,16514.61328125,0.69296875,0.7890625
17,1,0.6666666666666666,16,80,1,5,4,18036.553125,16518.708984375,0.6984375,0.7890625
18,1,0.6666666666666666,16,80,1,5,8,18035.04453125,16512.71875,0.64375,0.78515625
19,1,0.6666666666666666,16,80,1,5,16,18037.340234375,16509.462890625,0.64140625,0.7734375
20,1,0.6666666666666666,16,80,1,5,32,18035.914453125,16512.666015625,0.6375,0.76953125
21,1,0.6666666666666666,16,80,1,5,64,18033.69375,16508.9140625,0.64453125,0.78515625
22,1,0.6666666666666666,16,80,1,5,128,18036.001953125,16507.669921875,0.6484375,0.78515625
23,1,0.6666666666666666,16,80,1,5,256,18032.86484375,16505.923828125,0.6484375,0.78515625
24,1,0.6666666666666666,16,80,1,7,2,15839.583203125,5960.5966796875,0.5703125,0.765625
25,1,0.6666666666666666,16,80,1,7,4,22464.066796875,6500.91357421875,0.56171875,0.7578125
26,1,0.6666666666666666,16,80,1,7,8,22464.166015625,6326.04833984375,0.55390625,0.76171875
27,1,0.6666666666666666,16,80,1,7,16,22468.761328125,21067.3046875,0.52421875,0.75390625
28,1,0.6666666666666666,16,80,1,7,32,22468.077734375,21062.05859375,0.525,0.75390625
29,1,0.6666666666666666,16,80,1,7,64,22463.88125,21066.759765625,0.52265625,0.765625
30,1,0.6666666666666666,16,80,1,7,128,22468.675390625,21062.798828125,0.5390625,0.76953125
31,1,0.6666666666666666,16,80,1,7,256,22466.580078125,21062.80859375,0.5375,0.75
32,1,0.6666666666666666,16,80,1,9,2,26347.84921875,24327.4765625,0.42890625,0.58203125
