,cliques,nodes per clique,edges per clique,connectivity between cliques,w2v window,w2v dimensions,average loss,min loss,average auc,max auc,edges,nodes,density
3601,2,8,16,1,1,4,5133.908056640625,1595.259521484375,1.0,1.0,32,16,0.26666666666666666
11750,3,8,24,2,1,64,6842.415234375,6517.32568359375,1.0,1.0,72,24,0.2608695652173913
3600,2,8,16,1,1,2,6126.80927734375,5704.37109375,1.0,1.0,32,16,0.26666666666666666
5535,2,12,24,2,1,2,6967.081640625,6568.1806640625,1.0,1.0,48,24,0.17391304347826086
11749,3,8,24,2,1,32,6839.27822265625,6516.96875,1.0,1.0,72,24,0.2608695652173913
11746,3,8,24,2,1,4,6867.68349609375,6529.33935546875,1.0,1.0,72,24,0.2608695652173913
11748,3,8,24,2,1,16,6840.38916015625,6516.89990234375,1.0,1.0,72,24,0.2608695652173913
11753,3,8,24,2,1,512,6859.40224609375,6529.884765625,1.0,1.0,72,24,0.2608695652173913
11752,3,8,24,2,1,256,6854.79111328125,6527.1640625,1.0,1.0,72,24,0.2608695652173913
4950,2,28,16,1,1,2,6882.7439453125,4342.01025390625,1.0,1.0,32,56,0.02077922077922078
11751,3,8,24,2,1,128,6844.00576171875,6521.41650390625,1.0,1.0,72,24,0.2608695652173913
5238,2,8,16,2,5,2,17995.25859375,17000.3671875,1.0,1.0,32,16,0.26666666666666666
11745,3,8,24,2,1,2,6890.876171875,6585.544921875,0.9989795918367348,1.0,72,24,0.2608695652173913
11747,3,8,24,2,1,8,6846.92138671875,6516.96142578125,0.9979591836734695,1.0,72,24,0.2608695652173913
21661,4,8,56,4,3,256,15977.734375,8486.98828125,0.9966942148760332,1.0,224,32,0.45161290322580644
21655,4,8,56,4,3,4,15883.3451171875,8660.6357421875,0.996590909090909,0.9994834710743801,224,32,0.45161290322580644
21658,4,8,56,4,3,32,14353.791015625,8628.580078125,0.9962809917355372,1.0,224,32,0.45161290322580644
21662,4,8,56,4,3,512,14579.1421875,8545.0556640625,0.99349173553719,1.0,224,32,0.45161290322580644
24855,5,8,48,2,3,128,17711.92265625,16812.91796875,0.9931423611111111,0.9995659722222222,240,40,0.3076923076923077
8694,2,8,56,4,3,2,12743.595703125,3959.2392578125,0.9929606625258799,1.0,112,16,0.9333333333333333
21657,4,8,56,4,3,16,15594.448828125,8481.328125,0.9928719008264462,0.9989669421487604,224,32,0.45161290322580644
24853,5,8,48,2,3,32,17748.621484375,17009.763671875,0.9921006944444445,0.9978298611111112,240,40,0.3076923076923077
11854,3,8,40,2,5,4,20359.67109375,19243.09375,0.992013888888889,1.0,120,24,0.43478260869565216
24851,5,8,48,2,3,8,17645.851171875,16456.5,0.9919270833333332,1.0,240,40,0.3076923076923077
5878,2,16,32,2,7,4,34048.76484375,18719.46875,0.9916666666666666,1.0,64,32,0.12903225806451613
21659,4,8,56,4,3,64,15850.1966796875,8958.662109375,0.9911157024793388,0.9979338842975206,224,32,0.45161290322580644
23278,5,8,56,1,3,32,17431.635546875,16849.240234375,0.9908801020408162,0.9968112244897959,280,40,0.358974358974359
23280,5,8,56,1,3,128,17652.3015625,16873.484375,0.9908163265306122,0.9961734693877551,280,40,0.358974358974359
23277,5,8,56,1,3,16,17950.865625,16864.640625,0.9905612244897959,0.9958545918367345,280,40,0.358974358974359
5292,2,8,24,2,7,2,22030.41796875,20912.966796875,0.9901234567901234,1.0,48,16,0.4
21656,4,8,56,4,3,8,12879.1064453125,8301.2626953125,0.9900826446280991,1.0,224,32,0.45161290322580644
24856,5,8,48,2,3,256,17754.512890625,16794.349609375,0.98984375,0.9978298611111112,240,40,0.3076923076923077
21660,4,8,56,4,3,128,15832.798046875,8475.8388671875,0.9891528925619835,0.9984504132231404,224,32,0.45161290322580644
23282,5,8,56,1,3,512,18019.244921875,16891.703125,0.9889668367346939,0.9980867346938775,280,40,0.358974358974359
7065,2,8,56,3,1,2,6628.55498046875,6142.70263671875,0.9884297520661157,0.9979338842975207,112,16,0.9333333333333333
23276,5,8,56,1,3,8,17838.88359375,16974.81640625,0.9871811224489795,0.9958545918367347,280,40,0.358974358974359
11857,3,8,40,2,5,32,20353.845703125,19132.814453125,0.9868055555555555,1.0,120,24,0.43478260869565216
7066,2,8,56,3,1,4,3785.846337890625,1738.05126953125,0.9867768595041321,1.0,112,16,0.9333333333333333
16606,4,8,24,1,1,4,4370.44326171875,3927.22998046875,0.9867036011080333,0.997229916897507,96,32,0.1935483870967742
24852,5,8,48,2,3,16,17551.21015625,16484.99609375,0.9863715277777778,0.9995659722222222,240,40,0.3076923076923077
24854,5,8,48,2,3,64,17619.68671875,16849.69921875,0.9861979166666668,0.9991319444444444,240,40,0.3076923076923077
24895,5,8,56,2,3,4,17889.95703125,16855.228515625,0.9860969387755102,0.9939413265306122,280,40,0.358974358974359
23281,5,8,56,1,3,256,17968.29140625,16968.9296875,0.985969387755102,0.994579081632653,280,40,0.358974358974359
11858,3,8,40,2,5,64,20367.940625,19216.181640625,0.9857638888888889,1.0,120,24,0.43478260869565216
11855,3,8,40,2,5,8,20358.784765625,19256.42578125,0.9857638888888889,1.0,120,24,0.43478260869565216
19990,4,8,48,3,3,4,16960.85234375,8729.046875,0.9857340720221608,0.9903047091412742,192,32,0.3870967741935484
23279,5,8,56,1,3,64,17646.137109375,16749.208984375,0.9857142857142858,0.9974489795918366,280,40,0.358974358974359
26372,5,8,32,3,1,8,8334.3451171875,7857.6962890625,0.985546875,0.9931640625,160,40,0.20512820512820512
24897,5,8,56,2,3,16,17967.96484375,16984.93359375,0.9853954081632652,0.9977678571428571,280,40,0.358974358974359
23176,5,8,40,1,1,4,8638.8455078125,8077.30078125,0.9852500000000001,0.99125,200,40,0.2564102564102564
11860,3,8,40,2,5,256,20405.03359375,19170.56640625,0.9850694444444444,1.0,120,24,0.43478260869565216
8695,2,8,56,4,3,4,12751.525,3601.644775390625,0.9846790890269151,1.0,112,16,0.9333333333333333
11856,3,8,40,2,5,16,20336.0703125,19226.400390625,0.984375,1.0,120,24,0.43478260869565216
24896,5,8,56,2,3,8,18160.6109375,17018.779296875,0.9834183673469388,0.9939413265306123,280,40,0.358974358974359
5235,2,8,16,2,3,128,12367.642578125,11691.548828125,0.9833333333333334,1.0,32,16,0.26666666666666666
3708,2,8,32,1,5,2,15758.3353515625,14876.6552734375,0.9833333333333334,1.0,64,16,0.5333333333333333
5234,2,8,16,2,3,64,12367.6849609375,11690.1044921875,0.9833333333333334,1.0,32,16,0.26666666666666666
11853,3,8,40,2,5,2,20525.928125,19346.41796875,0.9829861111111111,1.0,120,24,0.43478260869565216
24901,5,8,56,2,3,256,17918.366015625,17233.361328125,0.9827168367346939,0.9964923469387754,280,40,0.358974358974359
24899,5,8,56,2,3,64,18163.944140625,16972.533203125,0.9822704081632654,0.9952168367346939,280,40,0.358974358974359
4104,2,12,56,1,3,2,14085.8666015625,13299.1162109375,0.9822314049586778,0.9917355371900827,112,24,0.4057971014492754
26533,5,8,56,3,7,4,37524.390625,35279.83984375,0.9822066326530612,0.9926658163265306,280,40,0.358974358974359
24902,5,8,56,2,3,512,17838.43046875,17116.9140625,0.9822066326530612,0.9961734693877551,280,40,0.358974358974359
8702,2,8,56,4,3,512,12744.3154296875,12110.4638671875,0.9821946169772258,1.0,112,16,0.9333333333333333
8697,2,8,56,4,3,16,12745.125390625,12109.1259765625,0.9821946169772258,1.0,112,16,0.9333333333333333
11859,3,8,40,2,5,128,20410.1703125,19244.4453125,0.9819444444444445,1.0,120,24,0.43478260869565216
24904,5,8,56,2,5,4,27328.0375,25364.40625,0.9818239795918366,0.9939413265306123,280,40,0.358974358974359
7067,2,8,56,3,1,8,6613.8779296875,1988.166015625,0.9814049586776861,1.0,112,16,0.9333333333333333
8701,2,8,56,4,3,256,12745.5349609375,12110.578125,0.9813664596273292,1.0,112,16,0.9333333333333333
8698,2,8,56,4,3,32,12745.1431640625,12111.513671875,0.9813664596273292,1.0,112,16,0.9333333333333333
24898,5,8,56,2,3,32,17741.51328125,16948.318359375,0.981186224489796,0.9942602040816326,280,40,0.358974358974359
24900,5,8,56,2,3,128,18148.987890625,16821.814453125,0.9806122448979592,0.9961734693877551,280,40,0.358974358974359
8700,2,8,56,4,3,128,12745.6212890625,3738.836181640625,0.9805383022774328,1.0,112,16,0.9333333333333333
8699,2,8,56,4,3,64,12744.702734375,12108.4208984375,0.9805383022774328,1.0,112,16,0.9333333333333333
8696,2,8,56,4,3,8,12748.073828125,3665.72900390625,0.9805383022774328,1.0,112,16,0.9333333333333333
21925,4,12,56,4,3,4,21116.55625,18240.62890625,0.9804752066115702,0.9927685950413223,224,48,0.19858156028368795
26373,5,8,32,3,1,16,8309.80126953125,7862.91357421875,0.98046875,0.9921875,160,40,0.20512820512820512
26378,5,8,32,3,1,512,8355.33623046875,7881.56396484375,0.98046875,0.994140625,160,40,0.20512820512820512
26376,5,8,32,3,1,128,8329.0248046875,7862.45458984375,0.98046875,0.9931640625,160,40,0.20512820512820512
26375,5,8,32,3,1,64,8326.1021484375,7863.17529296875,0.9802734375,0.9931640625,160,40,0.20512820512820512
24857,5,8,48,2,3,512,17819.410546875,16900.623046875,0.9801215277777778,0.9991319444444444,240,40,0.3076923076923077
26374,5,8,32,3,1,32,8316.48994140625,7857.92333984375,0.9798828125,0.9931640625,160,40,0.20512820512820512
26377,5,8,32,3,1,256,8337.1369140625,7888.26220703125,0.9796875,0.9921875,160,40,0.20512820512820512
7068,2,8,56,3,1,16,6610.91708984375,6134.5732421875,0.9793388429752066,0.9979338842975207,112,16,0.9333333333333333
23284,5,8,56,1,5,4,25271.065234375,23996.10546875,0.9792091836734693,0.9862882653061225,280,40,0.358974358974359
7072,2,8,56,3,1,256,6610.711328125,6134.89697265625,0.9789256198347107,1.0,112,16,0.9333333333333333
7070,2,8,56,3,1,64,6610.91015625,1827.7874755859375,0.9789256198347107,0.9979338842975207,112,16,0.9333333333333333
7069,2,8,56,3,1,32,6610.87978515625,1820.7978515625,0.9789256198347107,0.9979338842975207,112,16,0.9333333333333333
7071,2,8,56,3,1,128,6611.1017578125,1972.7349853515625,0.9789256198347107,1.0,112,16,0.9333333333333333
18325,4,8,40,2,3,4,16928.37109375,9819.890625,0.9787109375,0.9951171875,160,32,0.3225806451612903
10261,3,8,48,1,1,4,7155.6107421875,6717.85791015625,0.9785714285714284,0.9910714285714285,144,24,0.5217391304347826
23285,5,8,56,1,5,8,25511.074609375,24186.189453125,0.9781887755102041,0.9885204081632653,280,40,0.358974358974359
11861,3,8,40,2,5,512,20524.93125,19338.966796875,0.978125,1.0,120,24,0.43478260869565216
23183,5,8,40,1,1,512,8653.42265625,8128.80419921875,0.9780000000000001,0.9893750000000001,200,40,0.2564102564102564
16894,4,12,24,1,5,4,26823.23828125,22834.353515625,0.9778393351800554,1.0,96,48,0.0851063829787234
3711,2,8,32,1,5,16,15710.4828125,4482.66455078125,0.9777777777777779,1.0,64,16,0.5333333333333333
3715,2,8,32,1,5,256,15709.1919921875,14729.42578125,0.9777777777777779,1.0,64,16,0.5333333333333333
6840,2,8,16,3,1,2,5079.964526367187,1776.06396484375,0.9777777777777779,1.0,32,16,0.26666666666666666
5293,2,8,24,2,7,4,22031.24609375,20916.158203125,0.9777777777777776,1.0,48,16,0.4
26371,5,8,32,3,1,4,8338.24912109375,7871.95166015625,0.977734375,0.986328125,160,40,0.20512820512820512
7073,2,8,56,3,1,512,6610.6263671875,6135.33740234375,0.9776859504132231,1.0,112,16,0.9333333333333333
